"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-May-2024","EQ","4,861.05","4,907.00","4,770.00","4,880.95","4,796.65","4,793.30","4,816.06","4,908.00","3,160.00","6,55,641","3,15,76,07,238.70","65,890"
"24-May-2024","EQ","4,822.50","4,908.00","4,807.40","4,852.85","4,880.15","4,880.95","4,860.44","4,908.00","3,160.00","5,45,727","2,65,24,71,405.50","63,194"
"23-May-2024","EQ","4,696.65","4,867.85","4,682.55","4,695.45","4,855.00","4,852.85","4,799.10","4,867.85","3,160.00","9,22,926","4,42,92,12,097.90","95,277"
"22-May-2024","EQ","4,673.00","4,707.65","4,665.50","4,672.95","4,692.00","4,695.45","4,686.81","4,742.95","3,160.00","2,01,187","94,29,25,859.50","22,934"
"21-May-2024","EQ","4,650.00","4,728.85","4,650.00","4,684.40","4,671.20","4,672.95","4,684.55","4,742.95","3,160.00","5,00,742","2,34,57,49,941.55","80,617"
"18-May-2024","EQ","4,717.90","4,717.90","4,667.00","4,693.90","4,685.00","4,684.40","4,685.69","4,742.95","3,160.00","23,597","11,05,68,329.15","2,843"
"17-May-2024","EQ","4,660.00","4,700.00","4,622.00","4,681.75","4,680.95","4,693.90","4,675.84","4,742.95","3,160.00","2,87,570","1,34,46,30,864.90","34,231"
"16-May-2024","EQ","4,650.00","4,697.95","4,543.10","4,649.35","4,663.05","4,681.75","4,624.29","4,742.95","3,160.00","8,45,652","3,91,05,43,633.80","1,24,928"
"15-May-2024","EQ","4,730.55","4,730.55","4,598.10","4,730.55","4,648.00","4,649.35","4,652.35","4,742.95","3,160.00","10,82,300","5,03,52,36,398.05","76,145"
"14-May-2024","EQ","4,667.40","4,742.95","4,651.10","4,657.45","4,730.65","4,730.55","4,694.96","4,742.95","3,160.00","8,70,035","4,08,47,76,229.80","67,820"
"13-May-2024","EQ","4,679.00","4,733.80","4,528.30","4,657.85","4,667.35","4,657.45","4,652.33","4,733.80","3,160.00","17,38,770","8,08,93,35,401.65","1,41,022"
"10-May-2024","EQ","4,590.00","4,689.05","4,556.40","4,568.05","4,670.00","4,657.85","4,627.61","4,708.00","3,160.00","4,71,148","2,18,02,89,607.15","54,618"
"09-May-2024","EQ","4,580.00","4,708.00","4,541.50","4,600.10","4,552.20","4,568.05","4,618.18","4,708.00","3,160.00","9,80,283","4,52,71,21,300.80","1,17,403"
"08-May-2024","EQ","4,585.00","4,634.00","4,560.95","4,622.40","4,600.05","4,600.10","4,597.72","4,689.95","3,160.00","6,13,158","2,81,91,31,435.90","51,379"
"07-May-2024","EQ","4,605.00","4,655.00","4,570.00","4,599.00","4,610.00","4,622.40","4,610.13","4,689.95","3,160.00","5,05,027","2,32,82,39,844.20","46,726"
"06-May-2024","EQ","4,613.00","4,668.80","4,581.25","4,599.25","4,598.05","4,599.00","4,615.12","4,689.95","3,160.00","7,16,536","3,30,69,01,661.75","51,591"
"03-May-2024","EQ","4,623.00","4,655.60","4,580.00","4,602.40","4,600.00","4,599.25","4,607.97","4,689.95","3,160.00","5,62,484","2,59,19,11,559.90","49,331"
"02-May-2024","EQ","4,598.00","4,634.10","4,546.40","4,597.40","4,600.00","4,602.40","4,594.29","4,689.95","3,160.00","9,08,139","4,17,22,54,513.05","1,12,337"
"30-Apr-2024","EQ","4,578.00","4,689.95","4,578.00","4,571.85","4,615.50","4,597.40","4,630.13","4,689.95","3,160.00","6,63,752","3,07,32,57,205.70","75,512"
"29-Apr-2024","EQ","4,589.00","4,603.55","4,532.60","4,601.00","4,578.00","4,571.85","4,564.05","4,632.85","3,160.00","4,65,907","2,12,64,23,723.30","60,093"
"26-Apr-2024","EQ","4,591.00","4,632.85","4,572.00","4,615.20","4,605.00","4,601.00","4,602.63","4,632.85","3,156.15","3,64,193","1,67,62,45,727.85","36,524"
"25-Apr-2024","EQ","4,568.00","4,629.50","4,486.00","4,530.70","4,591.60","4,615.20","4,558.58","4,629.50","3,156.15","12,60,511","5,74,61,35,265.80","1,12,060"
"24-Apr-2024","EQ","4,545.00","4,571.65","4,514.80","4,520.15","4,530.00","4,530.70","4,548.64","4,571.65","3,156.15","9,19,636","4,18,30,88,977.50","83,625"
"23-Apr-2024","EQ","4,472.05","4,534.90","4,445.00","4,466.95","4,531.00","4,520.15","4,497.47","4,534.90","3,156.15","7,40,619","3,33,09,11,597.35","67,959"
"22-Apr-2024","EQ","4,394.00","4,485.00","4,370.40","4,344.15","4,468.00","4,466.95","4,454.76","4,485.00","3,156.15","7,81,218","3,48,01,37,401.75","78,147"
"19-Apr-2024","EQ","4,345.00","4,369.45","4,261.30","4,351.20","4,340.05","4,344.15","4,320.63","4,444.00","3,156.15","7,19,002","3,10,65,40,326.00","80,376"
"18-Apr-2024","EQ","4,356.00","4,444.00","4,338.05","4,355.70","4,368.00","4,351.20","4,394.96","4,444.00","3,156.15","13,16,876","5,78,76,23,192.50","1,33,246"
"16-Apr-2024","EQ","4,217.40","4,404.00","4,206.30","4,219.35","4,348.00","4,355.70","4,344.68","4,404.00","3,156.15","14,67,677","6,37,65,89,834.20","1,36,315"
"15-Apr-2024","EQ","4,250.00","4,317.85","4,193.75","4,302.25","4,260.00","4,219.35","4,257.83","4,382.80","3,156.15","8,60,133","3,66,22,97,391.35","52,507"
"12-Apr-2024","EQ","4,310.00","4,382.80","4,267.80","4,315.10","4,305.00","4,302.25","4,337.34","4,382.80","2,951.15","11,33,493","4,91,63,47,410.10","67,079"
"10-Apr-2024","EQ","4,250.00","4,335.00","4,222.05","4,248.65","4,297.60","4,315.10","4,270.93","4,335.00","2,951.15","10,18,246","4,34,88,61,773.75","1,05,725"
"09-Apr-2024","EQ","4,247.80","4,267.90","4,137.50","4,205.75","4,251.00","4,248.65","4,196.80","4,303.45","2,951.15","9,70,657","4,07,36,50,118.30","77,081"
"08-Apr-2024","EQ","4,024.95","4,303.45","4,011.60","4,031.25","4,189.00","4,205.75","4,206.78","4,303.45","2,951.15","21,65,986","9,11,18,17,746.30","1,98,006"
"05-Apr-2024","EQ","4,013.00","4,046.55","3,967.55","4,014.30","4,027.80","4,031.25","4,023.76","4,200.00","2,922.20","5,37,212","2,16,16,12,518.20","67,668"
"04-Apr-2024","EQ","3,957.00","4,030.00","3,892.05","3,934.20","4,005.00","4,014.30","3,976.90","4,200.00","2,922.20","9,32,478","3,70,83,67,855.35","1,21,609"
"03-Apr-2024","EQ","3,923.00","3,943.10","3,886.10","3,922.20","3,940.00","3,934.20","3,921.30","4,200.00","2,922.20","3,92,460","1,53,89,54,089.95","44,181"
"02-Apr-2024","EQ","3,990.00","3,990.00","3,914.30","3,946.65","3,921.50","3,922.20","3,930.17","4,200.00","2,922.20","4,85,047","1,90,63,15,633.35","39,989"
"01-Apr-2024","EQ","4,060.80","4,070.00","3,936.50","4,019.30","3,952.40","3,946.65","3,980.39","4,200.00","2,922.20","5,32,524","2,11,96,55,493.15","47,636"
"28-Mar-2024","EQ","3,915.30","4,075.00","3,891.75","3,913.80","4,026.00","4,019.30","4,016.60","4,200.00","2,836.00","13,07,106","5,25,01,25,066.05","1,29,420"
"27-Mar-2024","EQ","3,934.80","3,987.00","3,905.80","3,911.10","3,915.20","3,913.80","3,953.09","4,200.00","2,836.00","5,10,950","2,01,98,28,942.10","50,265"
"26-Mar-2024","EQ","4,001.45","4,042.50","3,907.10","3,988.40","3,919.20","3,911.10","3,945.11","4,200.00","2,836.00","7,72,158","3,04,62,45,492.10","75,089"
"22-Mar-2024","EQ","3,945.00","4,013.95","3,863.20","3,918.95","3,990.00","3,988.40","3,953.32","4,200.00","2,836.00","10,33,237","4,08,47,20,443.50","75,272"
"21-Mar-2024","EQ","3,881.35","3,949.00","3,881.00","3,873.60","3,933.65","3,918.95","3,918.24","4,200.00","2,836.00","8,38,929","3,28,71,25,201.55","87,735"
"20-Mar-2024","EQ","3,821.00","3,940.00","3,821.00","3,716.85","3,875.00","3,873.60","3,890.81","4,200.00","2,836.00","30,45,475","11,84,93,61,581.50","1,82,175"
"19-Mar-2024","EQ","3,699.70","3,730.00","3,672.00","3,699.70","3,730.00","3,716.85","3,701.20","4,200.00","2,836.00","5,59,402","2,07,04,56,668.45","38,085"
"18-Mar-2024","EQ","3,745.00","3,745.00","3,681.70","3,745.65","3,705.00","3,699.70","3,706.60","4,200.00","2,836.00","5,33,167","1,97,62,36,767.75","54,347"
"15-Mar-2024","EQ","3,772.65","3,779.95","3,707.05","3,772.65","3,747.50","3,745.65","3,741.63","4,200.00","2,836.00","4,87,749","1,82,49,77,616.85","42,068"
"14-Mar-2024","EQ","3,717.00","3,803.75","3,686.25","3,735.55","3,764.95","3,772.65","3,759.72","4,200.00","2,836.00","7,20,948","2,71,05,63,810.90","1,09,755"
"13-Mar-2024","EQ","3,811.55","3,852.40","3,715.00","3,810.75","3,726.00","3,735.55","3,778.52","4,200.00","2,836.00","4,28,324","1,61,84,29,324.45","58,922"
"12-Mar-2024","EQ","3,804.40","3,855.80","3,771.00","3,783.90","3,811.50","3,810.75","3,823.15","4,200.00","2,836.00","5,28,035","2,01,87,56,707.25","58,658"
"11-Mar-2024","EQ","3,795.45","3,814.95","3,770.00","3,785.25","3,775.05","3,783.90","3,791.28","4,200.00","2,836.00","3,73,335","1,41,54,16,573.05","47,290"
"07-Mar-2024","EQ","3,793.20","3,810.00","3,759.05","3,793.20","3,778.15","3,785.25","3,785.72","4,200.00","2,836.00","7,34,239","2,77,96,24,562.55","60,665"
"06-Mar-2024","EQ","3,800.00","3,806.85","3,734.05","3,791.90","3,800.00","3,793.20","3,778.30","4,200.00","2,836.00","3,15,398","1,19,16,69,749.90","41,112"
"05-Mar-2024","EQ","3,751.45","3,801.95","3,742.55","3,751.45","3,792.00","3,791.90","3,774.55","4,200.00","2,836.00","5,91,293","2,23,18,66,673.10","72,181"
"04-Mar-2024","EQ","3,858.60","3,883.30","3,744.00","3,860.35","3,756.90","3,751.45","3,776.30","4,200.00","2,836.00","6,41,251","2,42,15,58,538.10","90,577"
"02-Mar-2024","EQ","3,855.00","3,877.85","3,837.05","3,843.55","3,858.00","3,860.35","3,860.31","4,200.00","2,836.00","17,701","6,83,31,321.75","2,420"
"01-Mar-2024","EQ","3,790.20","3,868.80","3,776.05","3,792.40","3,840.00","3,843.55","3,834.42","4,200.00","2,836.00","6,65,946","2,55,35,19,427.85","68,074"
"29-Feb-2024","EQ","3,862.95","3,890.00","3,760.05","3,863.75","3,800.00","3,792.40","3,802.14","4,200.00","2,836.00","10,21,336","3,88,32,66,036.90","1,26,551"
"28-Feb-2024","EQ","4,002.75","4,018.95","3,851.00","4,002.75","3,860.00","3,863.75","3,922.97","4,200.00","2,836.00","6,58,953","2,58,50,54,081.95","89,592"
"27-Feb-2024","EQ","3,950.00","4,012.55","3,940.00","3,952.95","4,002.00","4,002.75","3,991.14","4,200.00","2,836.00","5,79,400","2,31,24,64,110.05","66,284"
"26-Feb-2024","EQ","3,927.05","3,991.45","3,895.00","3,927.05","3,955.00","3,952.95","3,947.73","4,200.00","2,836.00","4,74,465","1,87,30,61,554.45","49,579"
"23-Feb-2024","EQ","3,970.40","3,972.00","3,913.65","3,951.40","3,924.20","3,927.05","3,937.26","4,200.00","2,836.00","5,71,998","2,25,21,03,188.40","62,975"
"22-Feb-2024","EQ","3,864.80","3,970.00","3,841.85","3,836.35","3,953.00","3,951.40","3,913.70","4,200.00","2,836.00","11,30,600","4,42,48,25,633.80","1,15,282"
"21-Feb-2024","EQ","3,828.10","3,895.75","3,821.00","3,828.10","3,830.00","3,836.35","3,866.19","4,200.00","2,836.00","5,75,380","2,22,45,28,037.15","60,395"
"20-Feb-2024","EQ","3,894.00","3,898.90","3,784.20","3,902.85","3,830.05","3,828.10","3,831.06","4,200.00","2,836.00","13,24,518","5,07,43,02,757.60","74,451"
"19-Feb-2024","EQ","3,934.95","3,954.70","3,894.75","3,928.65","3,905.00","3,902.85","3,927.03","4,200.00","2,836.00","2,67,834","1,05,17,90,977.05","40,381"
"16-Feb-2024","EQ","3,925.05","4,003.00","3,916.30","3,916.55","3,938.00","3,928.65","3,960.47","4,200.00","2,836.00","6,34,008","2,51,09,66,521.00","72,730"
